n,t_mean,t_stdev,t_mean2,t_stdev2,mean_space,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,96975,19864.8,4162.5,379194,32057,59700,83475,95200,107300,144800
2,206397,43499.3,3283.2,673559,65057,144400,171650,207000,225050,322100
3,458341,59811.1,5408.85,1.17062e+06,162089,377900,420450,449650,485250,680400
4,866822,89406.6,5747.15,1.24063e+06,325121,724700,788950,864200,931025,1.0254e+06
5,1.60488e+06,139063,5598.35,397470,650216,1.4408e+06,1.4895e+06,1.57545e+06,1.67235e+06,1.9497e+06
6,3.9598e+06,180255,10181.2,1.12411e+07,1620375,3.6647e+06,3.82918e+06,3.92095e+06,4.08355e+06,4.4223e+06
7,7.85413e+06,355196,11624.4,3.47129e+07,3250692,7.3155e+06,7.55562e+06,7.7652e+06,8.10252e+06,8.8338e+06
8,1.51484e+07,256250,13110.1,4.54436e+06,6501640,1.47282e+07,1.49084e+07,1.5141e+07,1.53974e+07,1.55871e+07
9,3.76111e+07,481515,14631.6,2.34613e+06,16203232,3.67521e+07,3.72753e+07,3.75897e+07,3.78182e+07,3.91279e+07
10,7.59323e+07,1.5388e+06,15191.6,6.07446e+06,32506407,7.45246e+07,7.5295e+07,7.56899e+07,7.61708e+07,8.36099e+07
11,1.53253e+08,1.35102e+06,14431,2.69565e+06,65015881,1.51058e+08,1.52341e+08,1.53033e+08,1.53705e+08,1.57112e+08
12,4.32703e+08,3.61163e+07,16801,3.96076e+06,162031802,3.85916e+08,4.05719e+08,4.25405e+08,4.53225e+08,4.99471e+08
13,2.53807e+09,1.32046e+09,56934.4,9.11547e+08,325063549,8.5639e+08,1.60441e+09,2.10788e+09,3.63325e+09,5.25367e+09
